Instrument,Pointsize,AssetClass,Currency,Slippage,PerBlock,Percentage,PerTrade
IVV,1.0,ETF,USD,0.0,0.0,0.0,0.0
FLCA,1.0,ETF,USD,0.0,0.0,0.0,0.0
VGK,1.0,ETF,USD,0.0,0.0,0.0,0.0
FLJP,1.0,ETF,USD,0.0,0.0,0.0,0.0
BBAX,1.0,ETF,USD,0.0,0.0,0.0,0.0
ILF,1.0,ETF,USD,0.0,0.0,0.0,0.0
EZA,1.0,ETF,USD,0.0,0.0,0.0,0.0
EPOL,1.0,ETF,USD,0.0,0.0,0.0,0.0
KSA,1.0,ETF,USD,0.0,0.0,0.0,0.0
IEMG,1.0,ETF,USD,0.0,0.0,0.0,0.0
HYD,1.0,ETF,USD,0.0,0.0,0.0,0.0
VMBS,1.0,ETF,USD,0.0,0.0,0.0,0.0
CMBS,1.0,ETF,USD,0.0,0.0,0.0,0.0
ICVT,1.0,ETF,USD,0.0,0.0,0.0,0.0
SPHY,1.0,ETF,USD,0.0,0.0,0.0,0.0
HYLB,1.0,ETF,USD,0.0,0.0,0.0,0.0
SCHO,1.0,ETF,USD,0.0,0.0,0.0,0.0
SPSB,1.0,ETF,USD,0.0,0.0,0.0,0.0
SCHR,1.0,ETF,USD,0.0,0.0,0.0,0.0
VCIT,1.0,ETF,USD,0.0,0.0,0.0,0.0
SPTL,1.0,ETF,USD,0.0,0.0,0.0,0.0
VCLT,1.0,ETF,USD,0.0,0.0,0.0,0.0
SCHP,1.0,ETF,USD,0.0,0.0,0.0,0.0
BWX,1.0,ETF,USD,0.0,0.0,0.0,0.0
PICB,1.0,ETF,USD,0.0,0.0,0.0,0.0
IHY,1.0,ETF,USD,0.0,0.0,0.0,0.0
WIP,1.0,ETF,USD,0.0,0.0,0.0,0.0
VWOB,1.0,ETF,USD,0.0,0.0,0.0,0.0
EMLC,1.0,ETF,USD,0.0,0.0,0.0,0.0
EMHY,1.0,ETF,USD,0.0,0.0,0.0,0.0
EMB,1.0,ETF,USD,0.0,0.0,0.0,0.0
IAU,1.0,ETF,USD,0.0,0.0,0.0,0.0
